cmd_id,t_send_ms,t_ack_recv_ms,rtt_ms,payload_size,mode,phase,note
b8cc10a6-b92b-437b-9e81-135ea57c4a62,1770545817862,,,1145,AUTO,,Case 3
3cc88255-9ecc-42af-ba23-1453749cbcb7,1770545817963,,,1145,AUTO,,Case 3
d3efa4be-b744-408c-ab8b-6a9723793762,1770545818063,,,1145,AUTO,,Case 3
5311f839-2190-4cd1-8eb7-7ba27df7133a,1770545818164,,,1145,AUTO,,Case 3
2e394591-09ba-405c-909e-89bd9af29934,1770545818264,,,1145,AUTO,,Case 3
1a4acbde-e7c9-4d92-bc77-d9de7d912ba1,1770545818364,,,1145,AUTO,,Case 3
617d945f-781d-4d58-bd25-b00b60c94072,1770545818465,,,1145,AUTO,,Case 3
6efac6f8-fc27-4080-bdf4-956e6525f16f,1770545818565,,,1145,AUTO,,Case 3
58828523-306d-4261-8564-db763116b298,1770545818665,,,1145,AUTO,,Case 3
0c729b9a-4b2e-430f-baa0-d3e12ed41495,1770545818765,,,1145,AUTO,,Case 3
7e05cb12-8b9f-4679-9c16-1b22fcdf4040,1770545818866,,,1145,AUTO,,Case 3
e0d0470d-380a-4e0d-96f6-47c51a7586f7,1770545818966,,,1145,AUTO,,Case 3
325d3beb-01dc-4e2e-911e-3bfe82ab8228,1770545819067,,,1145,AUTO,,Case 3
08fcbf54-cf23-434f-ac78-56396ed3fb79,1770545819167,,,1145,AUTO,,Case 3
447c0f2c-fa22-4e67-8d39-b3f20696f6c2,1770545819268,,,1145,AUTO,,Case 3
87bb250e-6235-4ba1-979a-9ca637de7b96,1770545819368,,,1145,AUTO,,Case 3
eb63dc18-37dc-442d-8e85-038a048de15e,1770545819468,,,1145,AUTO,,Case 3
9169fe18-530c-40b0-9f68-1a1a7ea0a76e,1770545819568,,,1145,AUTO,,Case 3
c0b7fb85-2be7-49da-88e3-1c16da4df580,1770545819669,,,1145,AUTO,,Case 3
04b02128-ce4c-4535-950e-d91b34579425,1770545819769,,,1145,AUTO,,Case 3
2c74f5bf-20df-4966-b3ac-0241c7cd547d,1770545819869,,,1145,AUTO,,Case 3
ff519d36-2ef6-4583-8fe6-baaccba3bc13,1770545819970,,,1145,AUTO,,Case 3
854388d1-baf5-483f-b987-1d1e4cd02689,1770545820071,,,1145,AUTO,,Case 3
a4e080ee-4670-48e5-8388-4f3c99a3da42,1770545820171,,,1145,AUTO,,Case 3
dff8e79d-c8d6-4cdd-b11b-0d98328bca3f,1770545820271,,,1145,AUTO,,Case 3
ee91dc59-f314-4de8-b6bc-a8e4be8b38ef,1770545820372,,,1145,AUTO,,Case 3
3bad4659-db4f-40e1-b25d-15640a44b518,1770545820472,,,1145,AUTO,,Case 3
b2d85d56-979f-42fa-b6a6-9f8eb96604d6,1770545820573,,,1145,AUTO,,Case 3
ffdff689-e012-42bf-b95c-ea5a81a22c3e,1770545820673,,,1145,AUTO,,Case 3
bb15e42d-d88a-4725-9f51-e9975dfebc64,1770545820774,,,1145,AUTO,,Case 3
043cb02f-efcf-429a-90b6-06cbb1279bcc,1770545820875,,,1145,AUTO,,Case 3
e0110a8d-e923-45bb-84b1-99c5fb8001f3,1770545820975,,,1145,AUTO,,Case 3
e55535af-bb7b-4a55-b0ef-0dddac1b0e01,1770545821076,,,1145,AUTO,,Case 3
07e017bc-b772-4e39-bf3f-5d6d6c1246f5,1770545821176,,,1145,AUTO,,Case 3
c36dc841-daa5-4641-8205-36e67d5e235a,1770545821276,,,1145,AUTO,,Case 3
22ab8897-dca4-4b1e-96b1-e5374dc2121e,1770545821377,,,1145,AUTO,,Case 3
c365f7ca-490c-468a-a8ae-0781db92e368,1770545821477,,,1145,AUTO,,Case 3
ea26f988-f126-43e9-85b1-89fab606d541,1770545821577,,,1145,AUTO,,Case 3
3f875e88-a031-4357-b0e5-28b8b920faa3,1770545821678,,,1145,AUTO,,Case 3
107dc55c-1909-4871-8e1b-cc6b5a2325eb,1770545821778,,,1145,AUTO,,Case 3
6369f232-b132-4083-aa47-4b1b9c597162,1770545821878,,,1145,AUTO,,Case 3
